Iteration, Correct Rate, Training Error
0, 0.42108333333333337, 0.06676281992396851
10, 0.4306, 0.06348983214237762
20, 0.4277166666666667, 0.063606351010496
30, 0.4190666666666667, 0.06372804631162722
40, 0.4240166666666667, 0.06384224651547576
50, 0.42405, 0.06400163845915073
60, 0.42871666666666663, 0.06408216858962489
70, 0.4244, 0.06413643508914972
80, 0.4238, 0.06425433163198711
90, 0.42039999999999994, 0.06447402326836855
100, 0.4206833333333334, 0.06454524415942257
110, 0.4198166666666666, 0.06453461973995105
120, 0.4199, 0.06465804392301908
130, 0.4199666666666666, 0.06469992528809554
140, 0.4204666666666667, 0.06477878198014145
150, 0.4198333333333333, 0.0648291009555904
160, 0.41935, 0.06480484484268073
170, 0.4197166666666667, 0.06483830890655184
180, 0.4193333333333332, 0.06494120432103528
190, 0.4195, 0.06489572195800965
200, 0.42034999999999995, 0.0650333644635357
210, 0.41990000000000005, 0.06503102172858397
220, 0.42030000000000006, 0.0650657730520709
230, 0.4200833333333334, 0.06510103759041037
240, 0.42040000000000005, 0.06512928914968055
250, 0.4201666666666667, 0.06514775802676089
260, 0.4201333333333333, 0.06513927822647012
270, 0.42041666666666677, 0.06519557053748289
280, 0.4199666666666666, 0.06512194791366856
290, 0.41996666666666665, 0.06513759185000804
300, 0.42036666666666667, 0.06510309942576159
310, 0.4201833333333334, 0.06512761431574887
320, 0.42031666666666656, 0.06518092205428974
330, 0.4197666666666667, 0.06518049968826521
340, 0.4200666666666667, 0.06518006616776635
350, 0.42010000000000003, 0.06514758075698487
360, 0.4200833333333333, 0.06519015234345067
370, 0.42035, 0.06528944388245309
380, 0.4203999999999999, 0.06520285987957938
390, 0.42031666666666656, 0.06521554092053651
400, 0.42036666666666667, 0.06524704456379368
410, 0.42005, 0.06517189974086499
420, 0.4201333333333332, 0.06519156016423718
430, 0.4204999999999999, 0.06526793088064439
440, 0.4202166666666666, 0.0652332047475073
450, 0.4202833333333334, 0.06526061090486526
460, 0.4199166666666666, 0.0652121181107727
470, 0.4202, 0.06518708111676556
480, 0.4200666666666667, 0.06523871360268849
490, 0.41985, 0.06521088359318189
500, 0.4201666666666667, 0.06520060259917322
510, 0.4202333333333333, 0.06521784611827804
520, 0.4198666666666666, 0.06527055253864016
530, 0.41978333333333334, 0.06526032720140337
540, 0.41981666666666667, 0.0652696083708366
550, 0.4198833333333333, 0.06522885622071342
560, 0.4197166666666667, 0.06524612023378912
570, 0.4193166666666666, 0.06528836271043265
580, 0.4196, 0.06528412882205004
590, 0.4195999999999999, 0.06527110465203477
600, 0.4195833333333333, 0.06533333234123134
610, 0.4193333333333333, 0.06530071527852915
620, 0.4193333333333332, 0.06525038834521948
630, 0.4196999999999999, 0.0653067048670149
640, 0.41938333333333333, 0.06526402514187228
650, 0.4198666666666666, 0.06529012168132849
660, 0.4198166666666666, 0.06527273187794363
670, 0.4196499999999999, 0.06522286580448598
680, 0.4200499999999998, 0.06522157166808602
690, 0.4195833333333333, 0.06518848272642966
700, 0.41993333333333316, 0.0652254319877292
710, 0.4198333333333333, 0.06523181633512358
720, 0.4194166666666666, 0.0651969188022447
730, 0.41949999999999993, 0.06520842570440968
740, 0.4191833333333333, 0.06520167826692226
750, 0.41913333333333325, 0.06519636546626875
760, 0.41958333333333325, 0.06515841819827674
770, 0.41899999999999993, 0.065162854486071
780, 0.4196666666666667, 0.06518127472431438
790, 0.41968333333333324, 0.06518110320595406
800, 0.41948333333333326, 0.06519539442794728
810, 0.4194666666666666, 0.06526073182336586
820, 0.41903333333333326, 0.06523435528672444
830, 0.41974999999999996, 0.06522154285784505
840, 0.4193166666666667, 0.06522079515075868
850, 0.41964999999999997, 0.06525061240101707
860, 0.4193333333333334, 0.06523393413276844
870, 0.41916666666666663, 0.06523578713265185
880, 0.4196999999999999, 0.06526622584991988
890, 0.41936666666666667, 0.06526029922456672
900, 0.4198333333333333, 0.0652407846921669
910, 0.4199166666666667, 0.0652113280831119
920, 0.4197666666666666, 0.06520290488679224
930, 0.4200499999999999, 0.06520253135633584
940, 0.41974999999999996, 0.0651821237972063
950, 0.41955, 0.06520723690758849
960, 0.4192333333333333, 0.06521270717458176
970, 0.4191666666666667, 0.06523835728174869
980, 0.42001666666666665, 0.06521494704658597
990, 0.4196166666666665, 0.06524181547032352
